"","logFC","logCPM","PValue","FDR"
"ENSMUSG00000060981",-0.721771437913169,6.87354031917021,0.000165859176879133,0.0010396245507279
"ENSMUSG00000031633",-0.719630474406135,6.25678406501351,5.10161225423784e-07,5.9820260478524e-06
"ENSMUSG00000030872",-0.719501121347815,6.87337517192607,6.85370373771244e-07,7.83230676123743e-06
"ENSMUSG00000029512",-0.719266884074851,6.76739992795392,6.04377921197252e-05,0.000425378537650101
"ENSMUSG00000024235",-0.71804058050703,1.96411249352333,0.00178492511502835,0.00766672380385555
"ENSMUSG00000082536",-0.716981139893218,6.6365329823003,0.000286413570167641,0.00164658517205272
"ENSMUSG00000037260",-0.716696226251912,4.85263233273773,6.48385919897152e-08,8.83769656877997e-07
"ENSMUSG00000073639",-0.716441529645452,4.8708705368418,1.03687209123317e-06,1.13530931508442e-05
"ENSMUSG00000035585",-0.716091035591215,4.18907580719333,1.15317030543141e-05,9.99029282324821e-05
"ENSMUSG00000026958",-0.716090281370441,5.51148735030727,4.9897052934352e-06,4.70320503140644e-05
"ENSMUSG00000031762",-0.715918526890196,6.14198539858492,7.16624648688796e-07,8.14807297725532e-06
"ENSMUSG00000043618",-0.715792251716117,1.78613055265725,0.000568817553602829,0.0029449140839152
"ENSMUSG00000053693",-0.715787503008671,1.81844025394093,0.00095220217511466,0.00454478499964531
"ENSMUSG00000025068",-0.714509486958938,5.4323912861505,3.61912815442685e-08,5.17774759497836e-07
"ENSMUSG00000027602",-0.71418068998126,2.78992480799265,0.000324298903299318,0.00183345458401248
"ENSMUSG00000047547",-0.713606724861352,4.52217323656432,1.5611200481909e-07,1.99713253036482e-06
"ENSMUSG00000022751",-0.712108737027862,4.9534083724273,2.95069516351211e-06,2.92339798358535e-05
"ENSMUSG00000020440",-0.711967230710684,4.50543287218625,4.06136729684873e-07,4.86369278520383e-06
"ENSMUSG00000046675",-0.710788731081648,2.52760641617399,0.000330655000912079,0.00186470184817268
"ENSMUSG00000063952",-0.710258101884341,5.47357408239639,7.40079322484182e-06,6.7473481382449e-05
"ENSMUSG00000033752",-0.710153964532955,2.22221795277432,0.0015470021320651,0.00683806563485535
"ENSMUSG00000051007",-0.709309854142423,4.06768667703112,2.75651500165836e-06,2.74552800652332e-05
"ENSMUSG00000029304",-0.709193885430438,9.68796829267072,1.74063064875955e-05,0.000143263174549025
"ENSMUSG00000041351",-0.707987765024681,4.50202358487637,4.86795521456709e-08,6.75804399849468e-07
"ENSMUSG00000033781",-0.707609375298219,2.87484018972292,9.83877051287426e-06,8.6502716510767e-05
"ENSMUSG00000005054",-0.707344201834328,4.95983767250577,4.70164127663866e-06,4.46159967559508e-05
"ENSMUSG00000027242",-0.706830827434753,6.47652725226362,1.48705585186874e-07,1.9176540199844e-06
"ENSMUSG00000026657",-0.706649913122417,4.70251252122861,2.0473541101745e-07,2.57996677332504e-06
"ENSMUSG00000062825",-0.706486825591926,6.75554167857455,2.43832052629817e-06,2.46130290109721e-05
"ENSMUSG00000024525",-0.70634458148531,5.76246494882109,1.53490005611407e-07,1.97256584354317e-06
"ENSMUSG00000020803",-0.705540644061049,5.02959217975936,2.20361290777443e-07,2.75023608744989e-06
"ENSMUSG00000070348",-0.705444162791611,5.17482223995774,1.0513494798712e-07,1.3925117669201e-06
"ENSMUSG00000020407",-0.704988171546257,7.21274145029361,1.42868157875001e-05,0.000120612044692521
"ENSMUSG00000036427",-0.703763228768902,7.59525133841099,8.22671196566303e-06,7.40667542465019e-05
"ENSMUSG00000030168",-0.703690078412724,6.85977837123653,7.13707242265447e-07,8.12311532315279e-06
"ENSMUSG00000028654",-0.703028797309811,4.63078971206323,2.75996052435284e-07,3.38183919092762e-06
"ENSMUSG00000022517",-0.702778699138275,4.99706123598165,2.0418629375552e-08,3.02912252411718e-07
"ENSMUSG00000030257",-0.702498310740594,3.58099218608399,6.35786054023079e-05,0.00044351204574997
"ENSMUSG00000035356",-0.700391904863954,2.20686077024808,0.000162781833229026,0.00102204450846477
"ENSMUSG00000049091",-0.699789823863565,5.62749174839345,7.40438203876764e-06,6.7473481382449e-05
"ENSMUSG00000050144",-0.699118650974939,4.15854684714474,9.09734997633418e-07,1.01487798099085e-05
"ENSMUSG00000000711",-0.697207177334742,5.31267206347618,2.62788235271911e-07,3.2331003343902e-06
"ENSMUSG00000003235",-0.696506259316253,8.2950177931121,3.9561382252036e-06,3.81206292565676e-05
"ENSMUSG00000066042",-0.696452524884624,4.19203067527164,5.86946132282843e-07,6.81136146286952e-06
"ENSMUSG00000037852",-0.696233614467901,4.19357850135921,3.71655425684134e-07,4.47938398908691e-06
"ENSMUSG00000072324",-0.695203836758739,3.91470349094501,0.000319572078198903,0.00181128428394489
"ENSMUSG00000001525",-0.69442622464864,10.338100915859,7.76047839479193e-06,7.0206419589248e-05
"ENSMUSG00000052955",-0.693966397055817,2.01380730795623,0.000350340901433797,0.00195028883001141
"ENSMUSG00000005699",-0.693857775788138,2.40528193546387,0.000474863532012128,0.00253433337326833
"ENSMUSG00000023456",-0.692036692225991,7.01343571667264,0.000345055799967288,0.00193042411474237
"ENSMUSG00000042419",-0.691660973377821,3.00756241590252,0.000185355873749791,0.00114649438961298
"ENSMUSG00000043061",-0.690944946768736,4.38808452555097,3.07508855465558e-07,3.74641070391138e-06
"ENSMUSG00000040693",-0.690753602098891,4.10094662109164,1.03970354141794e-06,1.13730217152186e-05
"ENSMUSG00000028191",-0.690521410089808,4.53352878131382,3.39977773591852e-06,3.31000005544621e-05
"ENSMUSG00000044857",-0.690112765411572,4.32736595442449,8.32869134346055e-08,1.12567468938959e-06
"ENSMUSG00000086651",-0.688508997489388,2.65030297252579,0.000233011664437472,0.00139151150642558
"ENSMUSG00000022244",-0.688097782831641,3.15261077451579,3.64719236217771e-05,0.000274353887645867
"ENSMUSG00000021062",-0.687408141012279,3.39264432534128,4.50623288283148e-06,4.30523269052166e-05
"ENSMUSG00000025144",-0.6869180296888,3.11137172851001,0.00118306969125037,0.00548330270759769
"ENSMUSG00000029591",-0.686176564660215,5.82519369041121,6.97811394198927e-07,7.95830540341474e-06
"ENSMUSG00000069266",-0.685302520654648,5.97041216686216,0.000121339647167483,0.000789163870675733
"ENSMUSG00000059248",-0.684798816297861,6.10105732427991,4.1391010913101e-06,3.96796178787571e-05
"ENSMUSG00000028528",-0.684522890384461,6.12682399413965,4.3092591539796e-07,5.12236989286476e-06
"ENSMUSG00000022508",-0.683692994659148,2.68806207340098,0.000161053940855932,0.00101402663209684
"ENSMUSG00000073643",-0.683215145299241,4.56894904083359,4.73808725252978e-08,6.59403355874968e-07
"ENSMUSG00000000346",-0.683094458390705,4.96982341154626,7.74992395400972e-06,7.01673871681476e-05
"ENSMUSG00000038301",-0.683068422815714,5.2265989693077,5.89920493841443e-08,8.08982433322808e-07
"ENSMUSG00000060475",-0.683064220373024,7.18940612363713,8.79043691607038e-06,7.83889477567101e-05
"ENSMUSG00000024594",-0.682752145411947,5.71988553532429,7.74082759361299e-07,8.76981406300233e-06
"ENSMUSG00000037579",-0.682642038775453,1.84831962908616,0.00147379575984729,0.00657130583643249
"ENSMUSG00000025572",-0.682556247836043,4.81940754332985,5.43980795900287e-06,5.08907158893405e-05
"ENSMUSG00000072720",-0.681869204109605,3.16394941416373,6.29018769168101e-05,0.000439609450546631
"ENSMUSG00000044026",-0.681394873513306,5.36401989238096,1.00907168529975e-07,1.34125426728081e-06
"ENSMUSG00000000134",-0.68138875552536,5.09659939962408,7.29314752055148e-08,9.91674049197115e-07
"ENSMUSG00000034768",-0.681135077937551,1.910921978992,0.000790685982392011,0.00390481505138259
"ENSMUSG00000019124",-0.680728257242418,4.14162044570928,2.52820462913188e-06,2.53609822074826e-05
"ENSMUSG00000005161",-0.680301460550663,7.32629466362055,4.66231900569111e-06,4.43176476914594e-05
"ENSMUSG00000036580",-0.679994279815675,3.76550296114603,2.81609015760192e-05,0.000219148330949713
"ENSMUSG00000044709",-0.67989435551775,4.2066671685037,1.57247918576561e-06,1.65566745729721e-05
"ENSMUSG00000007041",-0.679531713820197,5.24905484564377,3.86163251363872e-07,4.64925670405432e-06
"ENSMUSG00000038280",-0.679269510749555,5.27112664858968,4.49351244559287e-08,6.29259619560297e-07
"ENSMUSG00000025410",-0.678551017930089,6.51932677364842,1.71966043950756e-06,1.79217624117354e-05
"ENSMUSG00000042111",-0.678367402014691,3.72835537901265,1.7346289728769e-05,0.000143031443562686
"ENSMUSG00000024313",-0.678086651384305,4.9207311481295,9.96073120669622e-07,1.09704625288246e-05
"ENSMUSG00000078779",-0.676676314878819,5.0276035577527,3.86771264925624e-06,3.73005392288905e-05
"ENSMUSG00000022972",-0.676470475370781,3.93604768684928,8.49694384979767e-06,7.61339709888245e-05
"ENSMUSG00000032841",-0.675749701744743,2.41368995321581,8.68141521045446e-05,0.000586673762268993
"ENSMUSG00000018648",-0.675505690011272,4.41928929123648,3.09813870984009e-06,3.05010540289565e-05
"ENSMUSG00000062908",-0.675114287493556,6.55931498524449,2.42471392280161e-06,2.4519701494518e-05
"ENSMUSG00000049881",-0.674694430229221,4.88085124099212,9.58903975803087e-07,1.06130661495135e-05
"ENSMUSG00000031146",-0.674227032407046,4.65235461243218,7.7442644415841e-07,8.76981406300233e-06
"ENSMUSG00000048578",-0.673437824903954,8.24073029742967,1.16563524995993e-05,0.000100672568247307
"ENSMUSG00000035198",-0.673393160729025,4.48989309560775,5.6557819263964e-07,6.5769666765592e-06
"ENSMUSG00000061517",-0.672581526995363,2.66358260287435,0.000534542531632265,0.00279508128374804
"ENSMUSG00000054766",-0.672159881774796,9.66690044756255,1.08777703774152e-05,9.48956771869933e-05
"ENSMUSG00000049232",-0.671490648766898,4.69414881603702,3.45672654362269e-06,3.36253373555685e-05
"ENSMUSG00000035439",-0.670859706776343,5.33792234011453,2.24474964545525e-08,3.31262595316854e-07
"ENSMUSG00000050390",-0.670455883473626,5.22966874424503,3.7137685439036e-05,0.000278223366263797
"ENSMUSG00000031889",-0.670196003216875,7.11554016404008,8.4230725213685e-07,9.45283937153581e-06
"ENSMUSG00000015839",-0.670002393301354,6.31926767420893,3.23651595270309e-06,3.16750408077861e-05
"ENSMUSG00000034744",-0.669519220089446,3.15953433071019,3.08572433662082e-05,0.000237339057218202
"ENSMUSG00000028478",-0.669452998203007,6.77603760280539,1.69669077355368e-05,0.000140599025413494
"ENSMUSG00000028221",-0.668840626320441,4.23495070510991,0.00020430198716439,0.00124249640111604
"ENSMUSG00000030766",-0.668153800590372,5.3397988287548,6.81214704205682e-06,6.27375868042006e-05
"ENSMUSG00000029592",-0.667659578703795,3.77477316961841,1.49867084858074e-06,1.58388662521527e-05
"ENSMUSG00000054074",-0.667347319361482,3.73206302274853,1.52021122941272e-06,1.60514321828602e-05
"ENSMUSG00000020541",-0.666443437705484,2.87538542709358,2.69628155720789e-05,0.000211434352237118
"ENSMUSG00000023186",-0.666255997078822,2.79387700537843,0.00061065163477075,0.00313122555084226
"ENSMUSG00000024012",-0.665831394186415,5.46010207242994,2.47820879388742e-05,0.000196011269303176
"ENSMUSG00000057093",-0.664620760821509,5.38624814893959,6.22202752226872e-08,8.4911043067854e-07
"ENSMUSG00000029119",-0.664477701863653,4.30729874466664,3.69241630271586e-07,4.45506666566951e-06
"ENSMUSG00000001053",-0.664323169842552,4.567614288714,6.69669706410051e-07,7.68411821283778e-06
"ENSMUSG00000015937",-0.663776914342264,6.48436999145065,9.29792550817469e-07,1.03213398163301e-05
"ENSMUSG00000026339",-0.66333348652441,6.32000540691765,1.47559936320583e-06,1.56097035176383e-05
"ENSMUSG00000029603",-0.660965867564082,2.89374433697228,0.00118551937509289,0.00548964844822533
"ENSMUSG00000029993",-0.660859643039973,5.25017857368359,4.66645246738585e-06,4.43194746585759e-05
"ENSMUSG00000051234",-0.659396767359492,6.01054836269026,3.29235958619171e-05,0.000251512116485909
"ENSMUSG00000091405",-0.659386082364781,5.95446492483034,0.000211982465839852,0.0012822715591012
"ENSMUSG00000029513",-0.659363534949714,4.28695288787127,3.20437446533749e-06,3.14151620424761e-05
"ENSMUSG00000031207",-0.659245636992057,6.22117398539121,9.47495974806059e-07,1.04971352085657e-05
"ENSMUSG00000001248",-0.659050770651565,4.8912209306681,3.04983926853312e-07,3.71967923803198e-06
"ENSMUSG00000062997",-0.658941357482052,7.041017002949,4.38702371431761e-05,0.000320546339619893
"ENSMUSG00000025537",-0.65868994473684,3.63894921927112,0.000176446974411713,0.00109500343667754
"ENSMUSG00000023393",-0.657942161202163,4.8722029848182,2.26657070878454e-05,0.000181019798439504
"ENSMUSG00000033379",-0.65793887489727,5.50321116884968,5.1188176513021e-06,4.80075934019117e-05
"ENSMUSG00000040767",-0.657910998440227,3.42234795039325,6.55449523353914e-05,0.000455533367745041
"ENSMUSG00000042705",-0.657218333189371,5.23263176587117,3.55401525853882e-07,4.29730124540528e-06
"ENSMUSG00000025358",-0.657053238149744,6.39548963260941,1.18552962267131e-05,0.000102312207267375
"ENSMUSG00000021255",-0.655819737360998,8.7596682601777,8.42566341503389e-06,7.56157901852004e-05
"ENSMUSG00000024725",-0.655758501277417,6.08689930291771,1.59063442377414e-06,1.67009188565268e-05
"ENSMUSG00000037710",-0.655489590864486,4.65110598678408,1.15275682939891e-05,9.99029282324821e-05
"ENSMUSG00000032788",-0.654242211225429,4.31672345715521,4.87783682463206e-06,4.60935084815021e-05
"ENSMUSG00000030842",-0.653861783108119,5.23001075582423,1.42739168328767e-06,1.51308352038998e-05
"ENSMUSG00000031447",-0.65375522160188,8.49360205368922,1.69875534689161e-05,0.000140666449748131
"ENSMUSG00000029344",-0.653298308741252,4.83228718774688,1.74671154914607e-07,2.21940919436696e-06
"ENSMUSG00000048285",-0.653264579510366,5.13167395670068,4.11870849631216e-07,4.9218785378353e-06
"ENSMUSG00000042613",-0.652816892473835,4.60179150691318,8.36415954502356e-07,9.39610130707193e-06
"ENSMUSG00000071632",-0.652703192239501,2.52289901134955,0.000240556354281619,0.00142596531570733
"ENSMUSG00000011752",-0.652534840157657,6.17531369378105,5.85605183998746e-05,0.000414419779362234
"ENSMUSG00000019817",-0.651850701329707,7.12974677695169,1.52087304238983e-05,0.000127248641083881
"ENSMUSG00000024101",-0.650765757341638,4.63359295346169,6.5180492846681e-07,7.49442374295427e-06
"ENSMUSG00000037573",-0.650495043009756,3.13146580832694,0.000924913372513894,0.00444422813209863
"ENSMUSG00000042121",-0.650468801227925,4.81437544831069,6.20821917479133e-06,5.74579626506408e-05
"ENSMUSG00000026238",-0.649083870219453,9.95493642210091,0.000105980934697174,0.000698567180931839
"ENSMUSG00000022787",-0.648722875445471,2.83809169515464,0.000902725782248448,0.00435111505417222
"ENSMUSG00000016534",-0.648535374732656,6.29055278149444,1.19206211808745e-05,0.000102718302819106
"ENSMUSG00000004056",-0.648270176996234,5.68318299801893,3.96743056898437e-05,0.000294338573805281
"ENSMUSG00000018882",-0.648124931360256,6.38125500245743,4.0476737254471e-05,0.000299447967385872
"ENSMUSG00000026817",-0.647748569733631,5.73762964046589,5.64671906011599e-05,0.000401373930663744
"ENSMUSG00000075031",-0.647417498706365,7.61468602365586,0.000187745314987528,0.00115999783903009
"ENSMUSG00000044533",-0.647176799768076,8.91741949185087,2.34219641118719e-05,0.000186265902714286
"ENSMUSG00000074652",-0.647170949003507,4.03878285354784,3.18858122769765e-05,0.000244247928511308
"ENSMUSG00000002804",-0.64678636071705,1.94725674419499,0.00112214393223522,0.00523589565061622
"ENSMUSG00000070708",-0.646557515961217,4.29034267197382,8.32569731716318e-06,7.48381025831335e-05
"ENSMUSG00000042249",-0.646552793625057,3.24616530397813,0.000426895669124971,0.00231681554020767
"ENSMUSG00000069274",-0.645325823957125,6.22392102835221,0.000829459789602757,0.0040709510793595
"ENSMUSG00000026398",-0.645123067827243,6.21249802918717,1.80095225511066e-06,1.87169206180401e-05
"ENSMUSG00000003752",-0.644843690877691,3.8666745952612,1.24554298336924e-05,0.000106917029373947
"ENSMUSG00000001403",-0.643853025704947,5.89319713690219,1.59304667803683e-05,0.00013259666835325
"ENSMUSG00000021417",-0.643752853136159,3.78231254825416,1.53710537951238e-05,0.000128415676022413
"ENSMUSG00000001962",-0.643635436236163,4.47464197215075,7.8890572036084e-07,8.91582394518356e-06
"ENSMUSG00000026421",-0.643468944267685,6.1493573414812,1.93809900818397e-05,0.000157812623801801
"ENSMUSG00000061650",-0.642880319824879,3.75276522535728,0.000188899726742635,0.00116561097480242
"ENSMUSG00000049760",-0.642535325692323,4.68358544727941,2.10954143583744e-05,0.000170048698537578
"ENSMUSG00000025584",-0.642436141097356,4.32845705374536,3.32100747656438e-05,0.000253356370922432
"ENSMUSG00000003134",-0.642350751846218,4.32439672445848,6.81461944520099e-07,7.79556415679401e-06
"ENSMUSG00000047881",-0.641835587361598,5.22700499152671,8.94770655930062e-07,9.99175374968574e-06
"ENSMUSG00000003849",-0.641732025340743,4.7995722313655,0.000227818386655522,0.00136266902018157
"ENSMUSG00000025838",-0.641387678971507,4.9086258202338,1.19216349849011e-06,1.28163274765978e-05
"ENSMUSG00000024096",-0.640972766921119,6.35762531547475,7.11085915277964e-06,6.50623361863361e-05
"ENSMUSG00000073018",-0.640960632777775,2.57446172923865,0.000929961666080478,0.00445945370365671
"ENSMUSG00000021756",-0.64048140229737,6.70688646512314,2.47372039465618e-06,2.49256145500975e-05
"ENSMUSG00000052456",-0.640263670669993,7.45296885781883,4.90186042362125e-05,0.000354478588190489
"ENSMUSG00000013622",-0.6400472497045,4.07619603890958,0.000136962555999396,0.000876575948897668
"ENSMUSG00000022389",-0.639733019492749,4.13806166846936,6.88146518412314e-06,6.32723434141167e-05
"ENSMUSG00000006273",-0.639485684830245,7.36606197869725,4.7869922308196e-06,4.53493914368714e-05
"ENSMUSG00000021290",-0.639350078827455,4.78739251345666,5.85433741523415e-05,0.000414419779362234
"ENSMUSG00000058709",-0.63884396774727,4.93063584616985,7.79983101477921e-06,7.04490761134074e-05
"ENSMUSG00000022817",-0.638709564129109,6.23238180266225,9.74577301940689e-06,8.57521264501021e-05
"ENSMUSG00000027506",-0.636602401701982,6.7545459426923,2.52069299192419e-06,2.53082077626674e-05
"ENSMUSG00000069300",-0.636100195904446,6.68071319818774,0.000323081170421302,0.00182840853617893
"ENSMUSG00000029713",-0.635838809897843,6.0743521272823,2.8073551996212e-05,0.000218629621300043
"ENSMUSG00000033985",-0.635759249077427,4.34665107184833,1.17460367013031e-06,1.26517416385205e-05
"ENSMUSG00000020707",-0.635624772083433,2.29342583672313,0.000384769222928829,0.00211472625211862
"ENSMUSG00000038650",-0.634589184671832,5.47350065747417,3.60957081375499e-06,3.49200867762774e-05
"ENSMUSG00000069020",-0.634119200112878,4.71343862487067,7.7099003688695e-07,8.74851964156786e-06
"ENSMUSG00000049323",-0.634054082265902,6.2327574552978,2.99067317203805e-06,2.96039787144083e-05
"ENSMUSG00000024165",-0.633220736270716,7.24636075356895,9.43850419879354e-06,8.34402356253407e-05
"ENSMUSG00000035934",-0.63297805716255,3.10777870783763,9.51955517294947e-05,0.000635296130087934
"ENSMUSG00000073184",-0.632865605404856,2.40394658034763,0.000708001977249421,0.00355223787366285
"ENSMUSG00000055884",-0.632670863027424,7.5234138302535,6.52721713102147e-06,6.02121055277575e-05
"ENSMUSG00000023915",-0.632380709947076,5.3180568037391,1.04803320466398e-06,1.14418770742198e-05
"ENSMUSG00000005413",-0.631209463402579,5.58439251611433,8.49035369346771e-06,7.61339709888245e-05
"ENSMUSG00000002847",-0.629881222775408,4.44382555306602,6.33528254058462e-06,5.85375942225752e-05
"ENSMUSG00000039164",-0.629736800764543,2.66523369755225,0.000199046770030118,0.00121844361948213
"ENSMUSG00000005779",-0.629060639948791,6.96350791725077,0.000262881759781206,0.00153563916298164
"ENSMUSG00000024209",-0.628991495335101,6.23431907042287,1.46717928035111e-05,0.000123491250056499
"ENSMUSG00000030120",-0.62789928827367,7.10735082834476,2.40748676622109e-05,0.000191052848879013
"ENSMUSG00000042246",-0.627723282563428,4.46955736366149,1.14138682099406e-06,1.23412450019983e-05
"ENSMUSG00000029538",-0.627689952028488,4.72537051942224,1.35709742182681e-05,0.000115435404753725
"ENSMUSG00000029086",-0.627287633840819,1.89781915796133,0.00136809573986516,0.00619333196247331
"ENSMUSG00000021322",-0.626923367311412,5.21114024334869,1.02437648524485e-06,1.12381595869057e-05
"ENSMUSG00000010048",-0.62678256898766,5.17626203801456,7.70702365012948e-06,6.98351981834859e-05
"ENSMUSG00000034121",-0.626698250745388,3.67743722706653,1.59684793603267e-05,0.000132814756218102
"ENSMUSG00000020949",-0.626423459726357,7.35624009900758,0.00199781647954352,0.00838888958643273
"ENSMUSG00000059534",-0.626290334427687,6.36622937834043,3.66721003218778e-05,0.000275653588315184
"ENSMUSG00000034341",-0.625909351333089,5.23615674794651,4.26504620966362e-07,5.07517932567909e-06
"ENSMUSG00000029535",-0.625555605138673,2.95734373615036,0.000943054582862892,0.00450686306174808
"ENSMUSG00000081915",-0.625362331515964,3.33488505020709,0.000682874947212261,0.00344655690368127
"ENSMUSG00000061615",-0.62528743232391,6.2047692745073,0.000234315252745488,0.00139707052869725
"ENSMUSG00000035242",-0.625022239207459,6.54063659912071,0.000256549729176949,0.00150333595862157
"ENSMUSG00000043391",-0.624432743884922,3.73151185407142,0.000125764203765713,0.000813704528967458
"ENSMUSG00000028779",-0.624024234104658,4.31123426247892,2.06824817906368e-05,0.000167319789737921
"ENSMUSG00000036880",-0.623933023957965,5.42164028707324,4.28904745111311e-06,4.10820601258662e-05
"ENSMUSG00000020198",-0.62362878872916,6.94991597873828,4.22993135337278e-05,0.000311905429958537
"ENSMUSG00000056941",-0.62338871202509,3.99988874213242,3.49660041139744e-06,3.39544659984146e-05
"ENSMUSG00000040601",-0.622092894372269,2.83920354949954,0.000306724290521618,0.00174815744901956
"ENSMUSG00000022295",-0.621775971224742,5.93797407158044,8.55683075877437e-06,7.66095237917339e-05
"ENSMUSG00000024935",-0.621007150779952,5.09179663477106,2.76080780548827e-07,3.38183919092762e-06
"ENSMUSG00000025666",-0.620952276291706,4.79315216466667,1.16243880996731e-05,0.000100473669624
"ENSMUSG00000059751",-0.62048258611009,6.34301984713696,4.50190699421703e-05,0.000328513589552047
"ENSMUSG00000058076",-0.618847852815648,5.4433741722869,8.1568438988978e-05,0.000554556890224339
"ENSMUSG00000018474",-0.618488019212625,4.06137343709422,2.27145721942606e-05,0.000181281308959872
"ENSMUSG00000069265",-0.618280572124027,6.457346151982,0.000528548820119836,0.00276829598614232
"ENSMUSG00000054814",-0.618206281152917,6.14265112237219,7.23643525357402e-06,6.61574914036096e-05
"ENSMUSG00000039959",-0.617516574990242,6.0074267802198,2.2634277653068e-05,0.000180897265251421
"ENSMUSG00000090723",-0.617200120480187,3.65298837621478,0.000386202978752758,0.00212156936789192
"ENSMUSG00000036782",-0.616471031261303,6.25604124981464,4.63903621849396e-05,0.000337643768782943
"ENSMUSG00000037833",-0.616236899897505,4.46034582801364,5.00187765476912e-05,0.000360783285618209
"ENSMUSG00000026409",-0.61612520460552,4.5437677504889,7.42653458938164e-06,6.76205517875276e-05
"ENSMUSG00000041236",-0.615707956535122,6.72318607076873,2.25255721300477e-05,0.000180156513941954
"ENSMUSG00000032606",-0.615693489228126,3.47940924233258,3.49407641247595e-05,0.000264407060957551
"ENSMUSG00000032348",-0.615655816873257,7.61670736295776,5.58537745367864e-05,0.000398272476008981
"ENSMUSG00000035274",-0.615213482310152,4.62035961240566,6.84247384614099e-06,6.29653178394889e-05
"ENSMUSG00000062661",-0.614438624969974,2.3771213563487,0.000909042136262011,0.00437968244313038
"ENSMUSG00000028234",-0.614013451889097,9.6480446990895,5.65992868464207e-05,0.000402058736947568
"ENSMUSG00000020105",-0.614002230917827,4.90962353836118,5.40914832409008e-07,6.30319926470393e-06
"ENSMUSG00000032508",-0.613261317641306,2.54086553315933,0.00057995355715808,0.0029903818327159
"ENSMUSG00000047423",-0.612990135445713,3.21630513517279,0.00121926417378252,0.00562141272414286
"ENSMUSG00000018599",-0.612835927654752,3.59999887060141,2.22965186689674e-05,0.000178578598598674
"ENSMUSG00000083125",-0.61273064773774,3.40644622252673,0.000442072492352416,0.00238193827336029
"ENSMUSG00000083068",-0.612555512240038,5.09330569612528,0.000115681378632258,0.000756740606585076
"ENSMUSG00000019809",-0.61250419696134,4.61770753672099,1.07697650821519e-05,9.4026403997514e-05
"ENSMUSG00000003346",-0.612036665695399,4.55833012955934,1.74950058576678e-05,0.000143704412614664
"ENSMUSG00000018427",-0.611685059856099,3.07140176771161,5.61712912696713e-05,0.000400282744187233
"ENSMUSG00000057863",-0.611600673275074,6.85440452639417,0.000172266798979691,0.00107373294271736
"ENSMUSG00000064284",-0.611501015883189,2.28399212186444,0.000526899532916007,0.00276119500854823
"ENSMUSG00000045896",-0.611417126187155,5.88830482262804,1.04103967438585e-05,9.11010983538431e-05
"ENSMUSG00000028591",-0.611204051200784,4.88648874287667,1.6247515012204e-05,0.000134736951557694
"ENSMUSG00000053536",-0.609705741629541,5.61247623662001,0.000129779372097734,0.000836794173875584
"ENSMUSG00000022677",-0.609653335140367,3.62794736051023,4.71213480900748e-05,0.000342742276373151
"ENSMUSG00000033739",-0.609363549974819,1.98291247864876,0.00234376074048974,0.00955605131501347
"ENSMUSG00000036748",-0.608785038168825,4.97322201515805,7.58092552728795e-06,6.89704753675995e-05
"ENSMUSG00000034902",-0.607891079209199,5.25910897370666,9.17010700691331e-07,1.02096884448258e-05
"ENSMUSG00000046152",-0.60775040831408,3.73449245045755,1.5765919879096e-05,0.000131324273363285
"ENSMUSG00000024132",-0.607626742375475,3.97903134172898,5.84663926793991e-05,0.000414419779362234
"ENSMUSG00000060671",-0.6075359179191,5.92144441886896,5.25961649080609e-06,4.92869895325954e-05
"ENSMUSG00000024824",-0.607451951403031,4.68575312408593,1.42123311018597e-05,0.000120263659300092
"ENSMUSG00000020986",-0.606995992891821,6.42711741575793,1.71870658670658e-05,0.000141900554827574
"ENSMUSG00000049401",-0.60648187737352,3.87891126296624,1.55592916057744e-05,0.000129891784786142
"ENSMUSG00000018405",-0.605935296593986,3.48856581927325,0.00041661573105938,0.00226978870918737
"ENSMUSG00000024327",-0.605389825154845,2.70309834430981,0.00162055213929611,0.00709281814103131
"ENSMUSG00000057666",-0.605175109665853,8.43532813048654,3.06458779546321e-05,0.000236036231232766
"ENSMUSG00000063019",-0.604984133843879,3.42614452281813,3.57661590039287e-05,0.000269926481878643
"ENSMUSG00000007038",-0.604924443561088,3.88431206504297,9.11438071836008e-05,0.000610793868760186
"ENSMUSG00000028251",-0.604666476480338,3.29652685615085,0.000223715589237719,0.00134098177024422
"ENSMUSG00000006057",-0.604632850385437,6.17186314155097,0.000507310878350982,0.00267701118116227
"ENSMUSG00000031012",-0.604417771050366,5.36134506313289,1.12916200067816e-05,9.79739714322987e-05
"ENSMUSG00000023262",-0.604356948410551,4.91949366307798,1.04502110533654e-05,9.13784006960291e-05
"ENSMUSG00000067713",-0.604176248591609,4.79164660165522,4.08686410666899e-05,0.000301949979497325
"ENSMUSG00000008348",-0.603605597581802,4.58100462240786,7.65127816508496e-06,6.9441987866328e-05
"ENSMUSG00000050052",-0.603560101152782,5.86090221044922,1.2723484025816e-05,0.000109051507523095
"ENSMUSG00000032369",-0.60334947635994,4.65029635990535,2.70860458778337e-05,0.000211904669687607
"ENSMUSG00000040659",-0.602990574650113,2.99968021731688,0.000734669171224538,0.00367171325796441
"ENSMUSG00000047635",-0.602530384218685,2.89139058960276,0.000122274846789536,0.000794786504131981
"ENSMUSG00000037032",-0.602386762906725,3.14091719399352,6.1269578866743e-05,0.000430072668137656
"ENSMUSG00000004446",-0.602029186348714,5.38168488315941,5.27154525045446e-06,4.93576405839803e-05
