"","logFC","logCPM","PValue","FDR"
"ENSMUSG00000030087",-0.819464526293782,3.78263434726209,4.78482160505992e-09,7.77533510822237e-08
"ENSMUSG00000026235",-0.819083776570339,8.13050251204467,8.68316027493423e-09,1.36371700127982e-07
"ENSMUSG00000038388",-0.817965345006163,5.64996416729331,3.90040111585956e-08,5.5100515763619e-07
"ENSMUSG00000051323",-0.816164465501005,3.86460786014778,6.46230127560107e-09,1.03812254063049e-07
"ENSMUSG00000010607",-0.816087593901906,3.32908963202275,6.09659088778407e-06,5.66112011008521e-05
"ENSMUSG00000052310",-0.815819978499236,5.29854767468561,5.22352655991009e-08,7.19835247134669e-07
"ENSMUSG00000028019",-0.815031626765451,4.83991315278414,5.99721305544683e-10,1.08947755748788e-08
"ENSMUSG00000048371",-0.813421337487385,6.02361585478761,3.62924944643486e-08,5.17904949557868e-07
"ENSMUSG00000021814",-0.812261649109434,6.07745697723235,1.57784888514949e-07,2.0162398538075e-06
"ENSMUSG00000045136",-0.811901471382329,7.09435488211814,4.53649743988935e-08,6.34488976511888e-07
"ENSMUSG00000076441",-0.810594759547192,6.3584415711505,2.50918855726149e-08,3.66915803984467e-07
"ENSMUSG00000004748",-0.8098265113183,2.34466681149867,0.000176274633633061,0.00109453796532511
"ENSMUSG00000048706",-0.809084902031471,2.52539996253925,1.56924879127486e-05,0.000130809508212645
"ENSMUSG00000024942",-0.808756267303691,4.61194503348732,9.29078909052952e-10,1.64527438303944e-08
"ENSMUSG00000031074",-0.808478635255309,1.89226199715541,0.00021785121352832,0.00131142232126657
"ENSMUSG00000032607",-0.807880972404886,6.11622006325674,1.25265805634919e-08,1.8984015961788e-07
"ENSMUSG00000027187",-0.807673902427008,6.11190543335617,1.55778669393302e-07,1.99713253036482e-06
"ENSMUSG00000035473",-0.807335798788243,3.24042746215742,1.4021165040112e-05,0.000119084592806691
"ENSMUSG00000037824",-0.807198533730746,5.5531974972154,1.36552167698953e-07,1.77517818008639e-06
"ENSMUSG00000025931",-0.804490651128506,3.77118843654293,1.48632972553218e-08,2.22553632005451e-07
"ENSMUSG00000037492",-0.803467399972907,2.92291760055329,4.13307988989215e-06,3.96557025271649e-05
"ENSMUSG00000057969",-0.801131769634536,1.99735857587463,6.05971434608097e-05,0.000426150643037401
"ENSMUSG00000030717",-0.800699497430012,5.17573294267316,1.44662012096072e-09,2.49115517001581e-08
"ENSMUSG00000027775",-0.800545873122116,6.00943623295388,4.54324762976501e-08,6.3464372169823e-07
"ENSMUSG00000026917",-0.800045908417925,7.62944301088934,1.97002907579629e-08,2.92641703531431e-07
"ENSMUSG00000028040",-0.800010864011118,3.0952551863339,5.09981801096735e-07,5.9820260478524e-06
"ENSMUSG00000028076",-0.799639187975998,2.53337291689595,4.62787804885042e-05,0.00033704979701634
"ENSMUSG00000038776",-0.797341361320171,3.37218056764865,2.10779357914027e-07,2.64828366451758e-06
